"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3685","Проверка работы формы 'Услуги связи':","","Wed Nov 06 01:05:26 UZT 2024","passed","Wed Nov 06 01:05:29 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkFormSubmissionForConnection"
"","4158","Проверка placeholder для формы 'Задолженность'","","Wed Nov 06 01:05:21 UZT 2024","passed","Wed Nov 06 01:05:26 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkArrearsPlaceholders"
"","7074","Модальное окно оплаты. Проверка отображения суммы на окне и на кнопке:","","Wed Nov 06 01:05:11 UZT 2024","passed","Wed Nov 06 01:05:18 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentFrameAmount"
"","4127","Проверка ссылки 'Подробнее о сервисе'","","Wed Nov 06 01:04:55 UZT 2024","passed","Wed Nov 06 01:04:59 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkMoreInfoButton"
"","3249","Проверка placeholder для формы 'Рассрочка'","","Wed Nov 06 01:05:18 UZT 2024","passed","Wed Nov 06 01:05:21 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkInstalmentPlaceholders"
"","5591","Модальное окно оплаты. Проверка отображения логотипов банковских компаний:","","Wed Nov 06 01:05:29 UZT 2024","passed","Wed Nov 06 01:05:35 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentFrameImg"
"","5056","Проверка placeholder для формы 'Домашний интернет'","","Wed Nov 06 01:05:06 UZT 2024","passed","Wed Nov 06 01:05:11 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkInternetPlaceholders"
"","3211","Проверка наличия логотипов платежных систем","","Wed Nov 06 01:05:03 UZT 2024","passed","Wed Nov 06 01:05:06 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentSystemLogos"
"","4342","Проверка названия блока","","Wed Nov 06 01:04:50 UZT 2024","passed","Wed Nov 06 01:04:54 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkBlockTitle"
"","6748","Модальное окно оплаты. Проверка текста в незаполненных полях","","Wed Nov 06 01:05:35 UZT 2024","passed","Wed Nov 06 01:05:42 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentFrameLabelsText"
"","4123","Проверка placeholder для формы 'Услуги связи'","","Wed Nov 06 01:04:59 UZT 2024","passed","Wed Nov 06 01:05:03 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkConnectionPlaceholders"
