"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6714","Проверка названия блока","","Fri Nov 01 19:09:35 UZT 2024","passed","Fri Nov 01 19:09:42 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkBlockTitle"
"","3678","Проверка placeholder для формы 'Задолженность'","","Fri Nov 01 19:10:20 UZT 2024","passed","Fri Nov 01 19:10:24 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkArrearsPlaceholders"
"","6039","Проверка placeholder для формы 'Услуги связи'","","Fri Nov 01 19:09:50 UZT 2024","passed","Fri Nov 01 19:09:56 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkConnectionPlaceholders"
"","4385","Проверка работы формы 'Услуги связи':","","Fri Nov 01 19:10:24 UZT 2024","passed","Fri Nov 01 19:10:28 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkFormSubmissionForConnection"
"","6867","Проверка placeholder для формы 'Домашний интернет'","","Fri Nov 01 19:10:04 UZT 2024","passed","Fri Nov 01 19:10:11 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkInternetPlaceholders"
"","5038","Модальное окно оплаты. Проверка отображения логотипов банковских компаний:","","Fri Nov 01 19:10:28 UZT 2024","passed","Fri Nov 01 19:10:33 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentFrameImg"
"","8009","Проверка наличия логотипов платежных систем","","Fri Nov 01 19:09:56 UZT 2024","passed","Fri Nov 01 19:10:04 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentSystemLogos"
"","8065","Проверка ссылки 'Подробнее о сервисе'","","Fri Nov 01 19:09:42 UZT 2024","passed","Fri Nov 01 19:09:50 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkMoreInfoButton"
"","5995","Модальное окно оплаты. Проверка отображения суммы на окне и на кнопке:","","Fri Nov 01 19:10:11 UZT 2024","passed","Fri Nov 01 19:10:17 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentFrameAmount"
"","3229","Проверка placeholder для формы 'Рассрочка'","","Fri Nov 01 19:10:17 UZT 2024","passed","Fri Nov 01 19:10:20 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkInstalmentPlaceholders"
"","6644","Модальное окно оплаты. Проверка текста в незаполненных полях","","Fri Nov 01 19:10:33 UZT 2024","passed","Fri Nov 01 19:10:40 UZT 2024","","lesson16.MTSOnlinePaymentTest","lesson16.MTSOnlinePaymentTest","checkPaymentFrameLabelsText"
